burn,site,winTempMin_C,sumTempAv_C
BF,58,-48.27,13.01182011
BF,59,-48.26,13.0755873
BF,60,-48.27,13.01182011
BF,61,-48.59,11.28727381
BF,62,-48.52,11.60649206
BF,63,-48.54,11.53138757
BF,64,-48.41,11.91615476
BF,65,-48.41,11.91615476
BF,66,-48.35,12.0851045
BF,67,-48.19,12.61729497
BF,68,-48.19,12.61729497
BF,69,-48.05,13.02939286
BF,70,-47.96,13.00018519
BF,71,-47.96,13.00018519
BF,72,-47.75,13.35246429
BF,73,-47.85,13.13016138
BF,74,-47.83,13.79133598
BF,75,-47.78,13.52292725
BF,76,-47.78,13.52292725
BF,77,-47.9,14.07165212
BF,78,-47.85,13.74864286
BF,79,-47.85,13.74864286
BF,80,-47.85,13.74864286
BF,81,-47.85,13.74864286
BF,82,-47.85,13.74864286
BF,83,-47.85,13.74864286
BF,84,-47.85,13.74864286
BF,85,-47.89,13.96895635
BF,86,-47.89,13.96895635
BF,87,-47.89,13.96895635
BF,88,-47.98,13.82702116
BF,89,-47.73,13.28543122
BF,90,-47.93,13.79805026
BF,91,-48.56,11.38981878
BF,92,-48.35,12.0851045
DC,30,-52.07,12.10730159
DC,31,-52.07,12.10730159
DC,32,-51.88,12.61122751
DC,33,-51.74,12.47053042
DC,34,-51.55,12.42418519
DC,35,-51.58,12.71319444
DC,36,-51.58,12.71319444
DC,37,-51.65,13.42074339
DC,38,-51.64,13.52287302
DC,39,-51.65,13.89181217
DC,40,-51.65,13.89181217
DC,41,-51.61,14.00482407
DC,42,-51.61,14.00482407
DC,43,-51.61,14.17565608
DC,44,-51.61,14.17565608
DC,45,-51.54,14.13752116
DC,46,-51.54,14.13752116
DC,47,-51.63,14.46227778
DC,48,-51.54,14.13752116
DC,49,-51.54,14.13752116
DC,50,-51.57,14.31892989
DC,51,-51.59,14.36952646
DC,52,-51.59,14.36952646
DC,53,-51.59,14.36952646
DC,54,-50.7,14.91801984
DC,55,-50.6,14.94116138
DC,56,-50.6,14.94116138
DC,57,-50.56,15.08750661
TC,1,-51.4,13.05468651
TC,10,-53.12,12.68678836
TC,11,-53.12,12.68678836
TC,12,-53.12,12.68730026
TC,13,-56,11.6593373
TC,14,-53.84,12.07142857
TC,15,-53.09,12.31023677
TC,16,-52.23,12.32892725
TC,17,-51.98,12.3283373
TC,18,-51.92,12.30913095
TC,19,-51.58,12.26817196
TC,2,-52.41,12.73177116
TC,20,-50.98,12.61753704
TC,23,-50.22,12.31654233
TC,24,-50.22,12.31654233
TC,25,-49.84,12.32393519
TC,26,-50.98,12.61753704
TC,27,-49.75,12.42557937
TC,28,-49.55,12.83252513
TC,29,-49.49,13.28779365
TC,3,-52.41,12.73177116
TC,4,-52.29,12.81174735
TC,5,-52.29,12.81174735
TC,6,-52.49,12.78257672
TC,7,-52.22,12.85682275
TC,8,-51.65,13.0614127
TC,9,-52.13,12.95407937
