"site.name","latitude","longitude"
"TC_1",64.0574978,-142.0202229
"TC_2",64.0459286,-142.059115
"TC_3",64.0396622,-142.0581216
"TC_4",64.0199434,-142.0867092
"TC_5",64.0205916,-142.0861858
"TC_6",63.9812727,-142.156472
"TC_7",63.97744,-142.16344
"TC_8",63.9603666,-142.1695182
"TC_9",63.8578432,-142.2331575
"TC_10",63.84834,-142.22064
"TC_11",63.84807,-142.21893
"TC_12",63.8215537,-142.2145293
"TC_13",63.658345,-142.2900212
"TC_14",63.6304745,-142.3082313
"TC_15",63.6252988,-142.3231182
"TC_16",63.5851277,-142.361218
"TC_17",63.5630954,-142.3718032
"TC_18",63.5623264,-142.372478
"TC_19",63.5398766,-142.3896237
"TC_20",63.5262511,-142.3937619
"TC_23",63.460388,-142.4682762
"TC_24",63.4618322,-142.4703648
"TC_25",63.4215899,-142.4827476
"TC_26",63.5214039,-142.3907223
"TC_27",63.4061793,-142.4720832
"TC_28",63.3956635,-142.4936213
"TC_29",63.3870094,-142.5245536
"DC_30",66.3151678,-150.40549
"DC_31",66.31513,-150.39724
"DC_32",66.2817822,-150.3584623
"DC_33",66.2652893,-150.3349446
"DC_34",66.2091254,-150.2703422
"DC_35",66.2130808,-150.2641044
"DC_36",66.2149578,-150.2571307
"DC_37",66.2077144,-150.2350495
"DC_38",66.1926319,-150.2153756
"DC_39",66.168597,-150.2042632
"DC_40",66.1636295,-150.2020497
"DC_41",66.1553673,-150.1844408
"DC_42",66.151771,-150.1813047
"DC_43",66.1455402,-150.1762666
"DC_44",66.1407909,-150.1723966
"DC_45",66.1099844,-150.1562545
"DC_46",66.1097479,-150.1578854
"DC_47",66.1200114,-150.1648727
"DC_48",66.1086509,-150.1569471
"DC_49",66.1051348,-150.1535931
"DC_50",66.0857919,-150.1649325
"DC_51",66.0744509,-150.1678399
"DC_52",66.0728888,-150.1674086
"DC_53",66.0719622,-150.1667733
"DC_54",65.9104659,-149.7807166
"DC_55",65.8960678,-149.7534469
"DC_56",65.8957487,-149.7538304
"DC_57",65.8830763,-149.7178314
"BF_58",65.2890207,-146.5504619
"BF_59",65.28984,-146.54884
"BF_60",65.2878242,-146.5478876
"BF_61",65.349341,-146.6688622
"BF_62",65.3509389,-146.6709342
"BF_63",65.3531428,-146.6737279
"BF_64",65.2994374,-146.7208119
"BF_65",65.2972898,-146.7208538
"BF_66",65.2961967,-146.7167373
"BF_67",65.2842745,-146.729259
"BF_68",65.2824145,-146.7366154
"BF_69",65.2831092,-146.7395058
"BF_70",65.1197299,-147.43453
"BF_71",65.11955,-147.4299
"BF_72",65.1164199,-147.4287
"BF_73",65.11811,-147.4486599
"BF_74",65.116859,-147.4676975
"BF_75",65.12273,-147.4652699
"BF_76",65.1233693,-147.465446
"BF_77",65.1297382,-147.4736378
"BF_78",65.1529314,-147.4811263
"BF_79",65.1508973,-147.4761251
"BF_80",65.1512457,-147.4728402
"BF_81",65.150311,-147.4732443
"BF_82",65.1484807,-147.4716124
"BF_83",65.1481318,-147.470916
"BF_84",65.1529882,-147.4782401
"BF_85",65.142733,-147.4658392
"BF_86",65.1424225,-147.4648893
"BF_87",65.1419572,-147.4655051
"BF_88",65.15116,-147.3446399
"BF_89",65.15008,-147.34393
"BF_90",65.1544308,-147.3411955
"BF_91",65.3196091,-146.7188424
"BF_92",65.2931929,-146.7150771
